"CASE";"SERIAL";"REF";"QUESTNNR";"MODE";"STARTED";"NE01_01";"NE01_02";"NE01_05";"NE01_03";"NE01_04";"NE02_01";"NE02_02";"NE02_05";"NE02_03";"NE02_04";"NE03_01";"NE03_02";"NE03_05";"NE03_03";"NE03_04";"NE04_01";"NE04_02";"NE04_05";"NE04_03";"NE04_04";"NE05_01";"NE05_02";"NE05_05";"NE05_03";"NE05_04";"NE06_01";"NE06_02";"NE06_05";"NE06_03";"NE06_04";"NE07_01";"NE07_02";"NE07_05";"NE07_03";"NE07_04";"NE08_01";"NE08_02";"NE08_05";"NE08_03";"NE08_04";"NE09_01";"NE09_02";"NE09_05";"NE09_03";"NE09_04";"NE10_01";"NE10_02";"NE10_05";"NE10_03";"NE10_04";"NL01_01";"NL01_02";"NL01_05";"NL01_03";"NL01_04";"NL23_01";"NL23_02";"NL23_05";"NL23_03";"NL23_04";"NL24_01";"NL24_02";"NL24_05";"NL24_03";"NL24_04";"NL25_01";"NL25_02";"NL25_05";"NL25_03";"NL25_04";"NL26_01";"NL26_02";"NL26_05";"NL26_03";"NL26_04";"NL27_01";"NL27_02";"NL27_05";"NL27_03";"NL27_04";"NL28_01";"NL28_02";"NL28_05";"NL28_03";"NL28_04";"NL29_01";"NL29_02";"NL29_05";"NL29_03";"NL29_04";"NL30_01";"NL30_02";"NL30_05";"NL30_03";"NL30_04";"NL31_01";"NL31_02";"NL31_05";"NL31_03";"NL31_04";"TIME001";"TIME002";"TIME003";"TIME004";"TIME005";"TIME006";"TIME007";"TIME008";"TIME009";"TIME010";"TIME011";"TIME_SUM";"MAILSENT";"LASTDATA";"STATUS";"FINISHED";"Q_VIEWER";"LASTPAGE";"MAXPAGE";"MISSING";"MISSREL";"TIME_RSI"
29;;;"base";"interview";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;5;5;4;4;5;4;4;4;4;4;5;5;5;5;1;5;5;5;5;4;5;5;5;5;1;5;5;5;5;1;4;3;5;5;1;4;3;5;5;5;5;5;5;5;;;;;;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;;-10;;;;0;0;10;10;0;0;
30;;;"base";"interview";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;5;5;5;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-1;-1;;;;;;;;;;-2;;;;0;0;2;2;0;0;
31;;;"base";"interview";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;5;5;5;5;5;3;5;5;5;5;3;5;5;5;4;4;5;5;5;5;1;5;5;5;1;5;5;5;5;1;5;5;5;5;1;5;5;5;5;5;3;5;5;5;3;5;5;5;5;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-11;;;;1;0;11;11;0;0;
38;;;"qnr1";"interview";;-9;-9;-9;-9;-9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-1;-1;;;;;;;;;;-2;;;;0;0;2;2;100;100;
42;;;"qnr1";"interview";;5;5;5;4;5;5;5;5;4;4;5;5;5;5;4;5;5;5;5;5;5;5;5;5;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-11;;;;1;0;11;11;0;0;
51;;;"qnr1";"interview";;5;5;5;5;5;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;5;5;5;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-1;-1;-1;-1;-1;-1;;;;;;-6;;;;0;0;6;6;0;0;
52;;;"qnr1";"interview";;5;5;5;5;5;5;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;3;4;3;5;5;5;5;5;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-11;;;;1;0;11;11;0;0;
54;;;"qnr1";"interview";;4;3;3;2;4;4;5;4;5;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-1;-1;-1;;;;;;;;;-3;;;;0;0;3;3;0;0;
56;;;"qnr1";"interview";;5;5;4;3;4;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-11;;;;1;0;11;11;90;90;
57;;;"qnr1";"interview";;5;3;-1;5;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-1;-1;;;;;;;;;;-2;;;;0;0;2;2;0;0;
